지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
108,서울,2014-01-06,0.8,-3.7,707,6.4,1428
108,서울,2014-01-07,3,0.3,702,5.5,1429
108,서울,2014-01-08,0.5,-5.7,2352,4,1
108,서울,2014-01-09,-7.8,-10.4,732,-4.3,1527
108,서울,2014-01-10,-4.7,-9.3,312,-0.9,1307
108,서울,2014-01-11,-1.7,-5.4,710,2.4,1414
108,서울,2014-01-12,-2.4,-7.7,2358,2.5,1436
108,서울,2014-01-13,-6.2,-10.5,751,-1.6,1554
108,서울,2014-01-14,-4.3,-8.9,652,1.1,1530
108,서울,2014-01-15,-2.9,-7.6,701,2.2,1540
108,서울,2014-01-16,0.1,-4,158,3.6,1518
108,서울,2014-01-17,-0.1,-3.7,824,3.8,1446
108,서울,2014-01-18,-2.2,-4.9,2349,0.8,1357
108,서울,2014-01-19,-2.6,-7.4,712,2.4,1406
108,서울,2014-01-20,-1.5,-4.2,2400,1.9,1313
108,서울,2014-01-21,-5.5,-7.2,717,-3.1,1506
108,서울,2014-01-22,-3.9,-9.5,713,1.6,1554
108,서울,2014-01-23,-0.8,-5.2,716,4.1,1353
108,서울,2014-01-24,3,-1.1,1,5.7,1543
108,서울,2014-01-25,4.2,-0.4,2355,6.3,1007
108,서울,2014-01-26,-2.1,-5.3,811,2.3,1542
108,서울,2014-01-27,0.2,-5.4,708,6,1447
108,서울,2014-01-28,1.5,-3,2400,4.6,1252
108,서울,2014-01-29,2.2,-5.3,745,8.2,1543
108,서울,2014-01-30,4,-1,2358,6.5,555
108,서울,2014-01-31,1.3,-4.3,643,7,1544
108,서울,2014-02-01,4.9,3.7,1,6,2312
108,서울,2014-02-02,4.9,2.8,2332,6.5,1457
108,서울,2014-02-03,-3.5,-8.2,2345,2.8,1
108,서울,2014-02-04,-7.4,-10.5,759,-3.7,1622
108,서울,2014-02-05,-4.8,-8.9,410,0.3,1440
108,서울,2014-02-06,-1.3,-5.2,253,4.5,1506
108,서울,2014-02-07,2.4,-2,1,7.6,1440
108,서울,2014-02-08,0.2,-1.5,2351,2.5,1428
108,서울,2014-02-09,-1.6,-3.4,802,0.7,1605
108,서울,2014-02-10,-0.1,-2.9,634,4.4,1329
108,서울,2014-02-11,0.2,-3.8,729,5.2,1615
108,서울,2014-02-12,1.2,-2,453,5.1,1235
108,서울,2014-02-13,1.9,-2.1,713,6.5,1350
108,서울,2014-02-14,2.7,-0.7,601,7.6,1517
108,서울,2014-02-15,2.7,-1.9,704,8.5,1611
108,서울,2014-02-16,2.8,-1.1,612,8.1,1617
108,서울,2014-02-17,4.2,0.9,734,8.5,1244
108,서울,2014-02-18,2.5,0.3,2227,5.4,1606
108,서울,2014-02-19,2.1,-1.9,723,6.7,1500
108,서울,2014-02-20,1.2,-1.2,637,5.5,1532
108,서울,2014-02-21,0.9,-4,724,6.9,1606
108,서울,2014-02-22,2.2,-2.1,731,7.4,1522
108,서울,2014-02-23,3.1,-1.8,720,8.5,1430
108,서울,2014-02-24,4.1,-0.3,701,9.3,1518
108,서울,2014-02-25,5.7,0.6,648,12.3,1500
108,서울,2014-02-26,8.4,1.4,628,16.4,1605
108,서울,2014-02-27,7.7,3.8,2341,13.1,1255
108,서울,2014-02-28,6.7,1.3,702,12.3,1552
