일시,평균기온(°C),최저기온(°C),최고기온(°C),내일최고온도,내일최저온도
2014-01-08,0.5,-5.7,4,-4.3,-10.4
2014-01-09,-7.8,-10.4,-4.3,-0.9,-9.3
2014-01-10,-4.7,-9.3,-0.9,2.4,-5.4
2014-01-11,-1.7,-5.4,2.4,2.5,-7.7
2014-01-12,-2.4,-7.7,2.5,-1.6,-10.5
2014-01-13,-6.2,-10.5,-1.6,1.1,-8.9
2014-01-14,-4.3,-8.9,1.1,2.2,-7.6
2014-01-15,-2.9,-7.6,2.2,3.6,-4
2014-01-16,0.1,-4,3.6,3.8,-3.7
2014-01-17,-0.1,-3.7,3.8,0.8,-4.9
2014-01-18,-2.2,-4.9,0.8,2.4,-7.4
2014-01-19,-2.6,-7.4,2.4,1.9,-4.2
2014-01-20,-1.5,-4.2,1.9,-3.1,-7.2
2014-01-21,-5.5,-7.2,-3.1,1.6,-9.5
2014-01-22,-3.9,-9.5,1.6,4.1,-5.2
2014-01-23,-0.8,-5.2,4.1,5.7,-1.1
2014-01-24,3,-1.1,5.7,6.3,-0.4
2014-01-25,4.2,-0.4,6.3,2.3,-5.3
2014-01-26,-2.1,-5.3,2.3,6,-5.4
2014-01-27,0.2,-5.4,6,4.6,-3
2014-01-28,1.5,-3,4.6,8.2,-5.3
2014-01-29,2.2,-5.3,8.2,6.5,-1
2014-01-30,4,-1,6.5,7,-4.3
2014-01-31,1.3,-4.3,7,6,3.7
2014-02-01,4.9,3.7,6,6.5,2.8
2014-02-02,4.9,2.8,6.5,2.8,-8.2
2014-02-03,-3.5,-8.2,2.8,-3.7,-10.5
2014-02-04,-7.4,-10.5,-3.7,0.3,-8.9
2014-02-05,-4.8,-8.9,0.3,4.5,-5.2
2014-02-06,-1.3,-5.2,4.5,7.6,-2
2014-02-07,2.4,-2,7.6,2.5,-1.5
2014-02-08,0.2,-1.5,2.5,0.7,-3.4
2014-02-09,-1.6,-3.4,0.7,4.4,-2.9
2014-02-10,-0.1,-2.9,4.4,5.2,-3.8
2014-02-11,0.2,-3.8,5.2,5.1,-2
